2025-11-25 16:45:20 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 17484 | Thread: 25640 | Acción: APLICACION_INICIADA | Sistema de Gestión de Horarios - ISTT iniciado en Windows
2025-11-25 16:45:20 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 17484 | Thread: 25640 | Acción: INICIO_BD | Iniciando base de datos del sistema
2025-11-25 16:45:20 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 17484 | Thread: 25640 | Acción: BD_INICIALIZADA | Base de datos inicializada correctamente
2025-11-25 16:45:20 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 2680 | Thread: 24708 | Acción: APLICACION_INICIADA | Sistema de Gestión de Horarios - ISTT iniciado en Windows
2025-11-25 16:45:20 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 2680 | Thread: 24708 | Acción: INICIO_BD | Iniciando base de datos del sistema
2025-11-25 16:45:20 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 2680 | Thread: 24708 | Acción: BD_INICIALIZADA | Base de datos inicializada correctamente
2025-11-25 19:09:18 | INFO     | app | Usuario: rectorado (ID:3, Rol:rectorado) | IP: 192.168.1.9 | PID: 2680 | Thread: 29096 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (rectorado)
2025-11-25 19:17:02 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 2680 | Thread: 28880 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:18:12 | INFO     | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 2680 | Thread: 16804 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (coordinador)
2025-11-25 19:18:40 | INFO     | app | Usuario: rectorado (ID:3, Rol:rectorado) | IP: 192.168.1.9 | PID: 2680 | Thread: 11716 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (rectorado)
2025-11-25 19:25:01 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 24796 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:25:02 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 26876 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:25:39 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 2680 | Thread: 29700 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:25:45 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 2680 | Thread: 25704 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:28:47 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 2680 | Thread: 29816 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:29:09 | INFO     | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 127.0.0.1 | PID: 2680 | Thread: 16144 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (coordinador)
2025-11-25 19:29:17 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 127.0.0.1 | PID: 2680 | Thread: 10844 | Acción: ERROR_404 | Página no encontrada: http://127.0.0.1:5050/favicon.ico
2025-11-25 19:29:33 | INFO     | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 127.0.0.1 | PID: 2680 | Thread: 13456 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (coordinador)
2025-11-25 19:31:02 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 29768 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:31:13 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 28596 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:31:22 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 28792 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:33:09 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 2680 | Thread: 13868 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:33:10 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 2680 | Thread: 29832 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:33:19 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 2680 | Thread: 20520 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
